FID,Oddzial,Zarzadca,Miejscowosc,Dane_identyfikacyjne,Obecna_Kategoria,Kat_docel, x , y ,Nr_drogi,Pikietaz,Kierunek,Parking_Osobowe,Parking_TIR,Parking_BUS,Toalety,Stacja_paliw,Restauracja_Bistro,Miejsca_noclegowe,Ladowanie_pojazdow_elektrycznych,Ochrona,Ogrodzenie,Monitoring_wideo,Oswietlenie,Miejsca_dla_pojazdow_z_ladunkiem_niebezpiecznym,Myjnia,Warsztat,Miejsca_zrzutu_nieczystosci_plynnych,,
40,Łódź,Prywatny,Studzianki,OOUR,Parking prywatny,brak, 51.505812    , 19.887766    ,S8,344+400,Warszawa,69,22,8,tak,nie,tak,tak,tak,nie,tak,tak,tak,nie,nie,nie,nie,,
41,Łódź,Prywatny,Lechów,OOUR,Parking prywatny,brak, 51.642644    , 20.132150    ,S8,367+720,Warszawa,15,15,5,tak,tak,tak,nie,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
42,Łódź,Prywatny,Wólka Jagielczyńska,OOUR,Parking prywatny,brak, 51.679437    , 20.191834    ,S8,373+660,Warszawa,45,10,5,tak,tak,tak,nie,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
43,Łódź,Prywatny,Podlas,OOUR,Parking prywatny,brak, 51.733860    , 20.231716    ,S8,380+530,Warszawa,20,0,8,tak,nie,tak,tak,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
44,Łódź,Prywatny,Podlas,OOUR,Parking prywatny,brak, 51.734378    , 20.231939    ,S8,380+660,Warszawa,16,5,2,tak,tak,tak,nie,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
45,Łódź,Prywatny,Proszenie,OOUR,Parking prywatny,brak, 51.460242    , 19.779725    ,S8,335+050,Wrocław,20,9,0,tak,tak,tak,nie,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
46,Łódź,Prywatny,Proszenie,OOUR,Parking prywatny,brak, 51.460880    , 19.780543    ,S8,335+170,Wrocław,300,0,50,tak,nie,tak,tak,nie,tak,tak,tak,tak,nie,nie,nie,nie,,
47,Łódź,Prywatny,Wolbórz,OOUR,Parking prywatny,brak, 51.488332    , 19.822835    ,S8,339+380,Wrocław,20,20,10,tak,nie,tak,nie,nie,nie,tak,nie,tak,nie,nie,nie,nie,,
48,Łódź,Prywatny,Wolbórz,OOUR,Parking prywatny,brak, 51.494916    , 19.839170    ,S8,340+800,Wrocław,20,30,10,tak,nie,tak,nie,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
49,Łódź,Prywatny,Studzianki,OOUR,Parking prywatny,brak, 51.505367    , 19.874648    ,S8,343+500,Wrocław,20,30,10,tak,tak,tak,nie,nie,nie,tak,tak,nie,nie,nie,nie,nie,,
50,Łódź,Prywatny,Studzianki,OOUR,Parking prywatny,brak, 51.514996    , 19.905792    ,S8,346+000,Wrocław,25,11,3,tak,tak,tak,nie,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
51,Łódź,Prywatny,Jadwigów,OOUR,Parking prywatny,brak, 51.524232    , 19.934851    ,S8,348+300,Wrocław,15,15,10,tak,nie,tak,nie,nie,nie,tak,nie,tak,nie,nie,nie,nie,,
52,Łódź,Prywatny,Jakubów,OOUR,Parking prywatny,brak, 51.589477    , 20.040135    ,S8,358+900,Wrocław,40,50,10,tak,nie,tak,tak,nie,nie,tak,nie,nie,nie,nie,nie,nie,,
53,Łódź,Prywatny,Czerniewice,OOUR,Parking prywatny,brak, 51.657320    , 20.152510    ,S8,369+940,Wrocław,35,19,5,tak,tak,tak,nie,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
54,Łódź,Prywatny,Wólka Jagielczyńska,OOUR,Parking prywatny,brak, 51.671430    , 20.178425    ,S8,372+500,Wrocław,15,8,2,tak,tak,tak,nie,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
55,Łódź,Prywatny,Podlas,OOUR,Parking prywatny,brak, 51.735964    , 20.231053    ,S8,380+800,Wrocław,35,8,7,tak,tak,tak,nie,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
56,Łódź,Prywatny,Huta Zawadzka,OOUR,Parking prywatny,brak, 51.927085    , 20.463152    ,S8,408+100,Wrocław,15,15,0,tak,tak,tak,nie,tak,nie,tak,tak,tak,nie,nie,nie,nie,,
57,Poznań,GDDKiA, Sokolniki, Ochędzyn,funkcja podst.,funkcja podst., 51.310363    , 18.241135    ,S8,119+100,Warszawa,45,43,3,tak,nie,nie,nie,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
58,Poznań,GDDKiA, Sokolniki, Niwiska,funkcja podst.,funkcja podst., 51.311399    , 18.240706    ,S8,119+100,Wrocław,46,43,3,tak,nie,nie,nie,nie,nie,tak,tak,tak,nie,nie,nie,nie,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
